# xData, xFit, Data0, yFit0
 6.50000000e+00,  6.35386119e-01,  4.04580337e+00,  1.02551789e-24
 6.60000000e+00,  6.45161290e-01,  3.16302028e+00,  1.26228515e-24
 6.70000000e+00,  6.54936461e-01,  2.30478337e+00,  1.55312803e-24
 6.80000000e+00,  6.64711632e-01,  1.81267076e+00,  1.91026048e-24
 6.90000000e+00,  6.74486804e-01,  1.20722841e+00,  2.34862389e-24
 7.00000000e+00,  6.84261975e-01,  8.36837506e-01,  2.88648900e-24
 7.10000000e+00,  6.94037146e-01,  6.14057665e-01,  3.54618909e-24
 7.20000000e+00,  7.03812317e-01,  4.79969390e-01,  4.35501265e-24
 7.30000000e+00,  7.13587488e-01,  4.11312283e-01,  5.34628988e-24
 7.40000000e+00,  7.23362659e-01,  3.44170912e-01,  6.56071443e-24
 7.50000000e+00,  7.33137830e-01,  3.91398913e-02,  8.04795086e-24
 7.60000000e+00,  7.42913001e-01, -2.56532584e-02,  9.86858865e-24
 7.70000000e+00,  7.52688172e-01,  3.24302761e-02,  1.20965166e-23
 7.80000000e+00,  7.62463343e-01,  2.61749217e-02,  1.48218071e-23
 7.90000000e+00,  7.72238514e-01, -8.90607391e-02,  1.81542176e-23
 8.00000000e+00,  7.82013685e-01, -7.70695408e-02,  2.22274411e-23
 8.10000000e+00,  7.91788856e-01,  1.04766856e-01,  2.72042619e-23
 8.20000000e+00,  8.01564027e-01,  2.09993908e-01,  3.32828092e-23
 8.30000000e+00,  8.11339198e-01, -2.87531912e-02,  4.07041373e-23
 8.40000000e+00,  8.21114370e-01, -8.26568493e-02,  4.97614106e-23
 8.50000000e+00,  8.30889541e-01, -3.61518142e-02,  6.08110302e-23
 8.60000000e+00,  8.40664712e-01, -1.27031414e-01,  7.42861052e-23
 8.70000000e+00,  8.50439883e-01, -3.48322558e-02,  9.07127570e-23
 8.80000000e+00,  8.60215054e-01,  5.39308545e-02,  1.10729845e-22
 8.90000000e+00,  8.69990225e-01, -1.03840505e-02,  1.35112824e-22
 9.00000000e+00,  8.79765396e-01,  1.57608162e-01,  1.64802576e-22
 9.10000000e+00,  8.89540567e-01,  1.92626257e-02,  2.00940266e-22
 9.20000000e+00,  8.99315738e-01,  6.14204630e-02,  2.44909425e-22
 9.30000000e+00,  9.09090909e-01, -1.89906119e-02,  2.98386778e-22
 9.40000000e+00,  9.18866080e-01,  1.67959897e-01,  3.63403579e-22
 9.50000000e+00,  9.28641251e-01, -1.56046509e-01,  4.42419616e-22
 9.60000000e+00,  9.38416422e-01, -3.87569349e-02,  5.38412457e-22
 9.70000000e+00,  9.48191593e-01, -1.49834892e-01,  6.54985029e-22
 9.80000000e+00,  9.57966764e-01,  1.05483340e-01,  7.96495263e-22
 9.90000000e+00,  9.67741935e-01,  1.08553444e-01,  9.68212245e-22
 1.00000000e+01,  9.77517107e-01, -6.58436799e-02,  1.17650423e-21
 nan,  9.87292278e-01,  nan,  1.42906495e-21
 nan,  9.97067449e-01,  nan,  1.73518582e-21
 nan,  1.00684262e+00,  nan,  2.10608339e-21
 nan,  1.01661779e+00,  nan,  2.55529288e-21
 nan,  1.02639296e+00,  nan,  3.09914115e-21
 nan,  1.03616813e+00,  nan,  3.75731475e-21
 nan,  1.04594330e+00,  nan,  4.55354202e-21
 nan,  1.05571848e+00,  nan,  5.51641169e-21
 nan,  1.06549365e+00,  nan,  6.68035498e-21
 nan,  1.07526882e+00,  nan,  8.08682343e-21
 nan,  1.08504399e+00,  nan,  9.78570074e-21
 nan,  1.09481916e+00,  nan,  1.18369946e-20
 nan,  1.10459433e+00,  nan,  1.43128632e-20
 nan,  1.11436950e+00,  nan,  1.73000412e-20
 nan,  1.12414467e+00,  nan,  2.09027442e-20
 nan,  1.13391984e+00,  nan,  2.52461423e-20
 nan,  1.14369501e+00,  nan,  3.04805145e-20
 nan,  1.15347019e+00,  nan,  3.67862155e-20
 nan,  1.16324536e+00,  nan,  4.43796096e-20
 nan,  1.17302053e+00,  nan,  5.35201590e-20
 nan,  1.18279570e+00,  nan,  6.45188862e-20
 nan,  1.19257087e+00,  nan,  7.77484748e-20
 nan,  1.20234604e+00,  nan,  9.36553183e-20
 nan,  1.21212121e+00,  nan,  1.12773890e-19
 nan,  1.22189638e+00,  nan,  1.35743870e-19
 nan,  1.23167155e+00,  nan,  1.63330556e-19
 nan,  1.24144673e+00,  nan,  1.96449173e-19
 nan,  1.25122190e+00,  nan,  2.36193814e-19
 nan,  1.26099707e+00,  nan,  2.83871887e-19
 nan,  1.27077224e+00,  nan,  3.41045087e-19
 nan,  1.28054741e+00,  nan,  4.09578132e-19
 nan,  1.29032258e+00,  nan,  4.91696678e-19
 nan,  1.30009775e+00,  nan,  5.90056145e-19
 nan,  1.30987292e+00,  nan,  7.07823456e-19
 nan,  1.31964809e+00,  nan,  8.48774087e-19
 nan,  1.32942326e+00,  nan,  1.01740724e-18
 nan,  1.33919844e+00,  nan,  1.21908247e-18
 nan,  1.34897361e+00,  nan,  1.46018169e-18
 nan,  1.35874878e+00,  nan,  1.74830121e-18
 nan,  1.36852395e+00,  nan,  2.09247929e-18
 nan,  1.37829912e+00,  nan,  2.50346561e-18
 nan,  1.38807429e+00,  nan,  2.99404028e-18
 nan,  1.39784946e+00,  nan,  3.57939147e-18
 nan,  1.40762463e+00,  nan,  4.27756196e-18
 nan,  1.41739980e+00,  nan,  5.10997726e-18
 nan,  1.42717498e+00,  nan,  6.10206988e-18
 nan,  1.43695015e+00,  nan,  7.28401674e-18
 nan,  1.44672532e+00,  nan,  8.69161025e-18
 nan,  1.45650049e+00,  nan,  1.03672865e-17
 nan,  1.46627566e+00,  nan,  1.23613388e-17
 nan,  1.47605083e+00,  nan,  1.47333486e-17
 nan,  1.48582600e+00,  nan,  1.75538738e-17
 nan,  1.49560117e+00,  nan,  2.09064373e-17
 nan,  1.50537634e+00,  nan,  2.48898704e-17
 nan,  1.51515152e+00,  nan,  2.96210734e-17
 nan,  1.52492669e+00,  nan,  3.52382634e-17
 nan,  1.53470186e+00,  nan,  4.19047981e-17
 nan,  1.54447703e+00,  nan,  4.98136721e-17
 nan,  1.55425220e+00,  nan,  5.91928039e-17
 nan,  1.56402737e+00,  nan,  7.03112496e-17
 nan,  1.57380254e+00,  nan,  8.34865031e-17
 nan,  1.58357771e+00,  nan,  9.90930679e-17
 nan,  1.59335288e+00,  nan,  1.17572520e-16
 nan,  1.60312805e+00,  nan,  1.39445316e-16
 nan,  1.61290323e+00,  nan,  1.65324639e-16
 nan,  1.62267840e+00,  nan,  1.95932638e-16
 nan,  1.63245357e+00,  nan,  2.32119453e-16
 nan,  1.64222874e+00,  nan,  2.74885505e-16
 nan,  1.65200391e+00,  nan,  3.25407600e-16
 nan,  1.66177908e+00,  nan,  3.85069475e-16
 nan,  1.67155425e+00,  nan,  4.55497548e-16
 nan,  1.68132942e+00,  nan,  5.38602723e-16
 nan,  1.69110459e+00,  nan,  6.36629259e-16
 nan,  1.70087977e+00,  nan,  7.52211891e-16
 nan,  1.71065494e+00,  nan,  8.88442539e-16
 nan,  1.72043011e+00,  nan,  1.04894820e-15
 nan,  1.73020528e+00,  nan,  1.23798189e-15
 nan,  1.73998045e+00,  nan,  1.46052869e-15
 nan,  1.74975562e+00,  nan,  1.72242944e-15
 nan,  1.75953079e+00,  nan,  2.03052499e-15
 nan,  1.76930596e+00,  nan,  2.39282416e-15
 nan,  1.77908113e+00,  nan,  2.81869953e-15
 nan,  1.78885630e+00,  nan,  3.31911523e-15
 nan,  1.79863148e+00,  nan,  3.90689219e-15
 nan,  1.80840665e+00,  nan,  4.59701661e-15
 nan,  1.81818182e+00,  nan,  5.40699875e-15
 nan,  1.82795699e+00,  nan,  6.35728989e-15
 nan,  1.83773216e+00,  nan,  7.47176684e-15
 nan,  1.84750733e+00,  nan,  8.77829469e-15
 nan,  1.85728250e+00,  nan,  1.03093801e-14
 nan,  1.86705767e+00,  nan,  1.21029293e-14
 nan,  1.87683284e+00,  nan,  1.42031276e-14
 nan,  1.88660802e+00,  nan,  1.66614592e-14
 nan,  1.89638319e+00,  nan,  1.95378885e-14
 nan,  1.90615836e+00,  nan,  2.29022299e-14
 nan,  1.91593353e+00,  nan,  2.68357331e-14
 nan,  1.92570870e+00,  nan,  3.14329185e-14
 nan,  1.93548387e+00,  nan,  3.68037014e-14
 nan,  1.94525904e+00,  nan,  4.30758485e-14
 nan,  1.95503421e+00,  nan,  5.03978178e-14
 nan,  1.96480938e+00,  nan,  5.89420415e-14
 nan,  1.97458456e+00,  nan,  6.89087172e-14
 nan,  1.98435973e+00,  nan,  8.05301867e-14
 nan,  1.99413490e+00,  nan,  9.40759898e-14
 nan,  2.00391007e+00,  nan,  1.09858695e-13
 nan,  2.01368524e+00,  nan,  1.28240625e-13
 nan,  2.02346041e+00,  nan,  1.49641608e-13
 nan,  2.03323558e+00,  nan,  1.74547911e-13
 nan,  2.04301075e+00,  nan,  2.03522531e-13
 nan,  2.05278592e+00,  nan,  2.37217040e-13
 nan,  2.06256109e+00,  nan,  2.76385224e-13
 nan,  2.07233627e+00,  nan,  3.21898764e-13
 nan,  2.08211144e+00,  nan,  3.74765278e-13
 nan,  2.09188661e+00,  nan,  4.36149053e-13
 nan,  2.10166178e+00,  nan,  5.07394868e-13
 nan,  2.11143695e+00,  nan,  5.90055357e-13
 nan,  2.12121212e+00,  nan,  6.85922412e-13
 nan,  2.13098729e+00,  nan,  7.97063239e-13
 nan,  2.14076246e+00,  nan,  9.25861692e-13
 nan,  2.15053763e+00,  nan,  1.07506569e-12
 nan,  2.16031281e+00,  nan,  1.24784153e-12
 nan,  2.17008798e+00,  nan,  1.44783617e-12
 nan,  2.17986315e+00,  nan,  1.67924845e-12
 nan,  2.18963832e+00,  nan,  1.94691073e-12
 nan,  2.19941349e+00,  nan,  2.25638224e-12
 nan,  2.20918866e+00,  nan,  2.61405582e-12
 nan,  2.21896383e+00,  nan,  3.02727999e-12
 nan,  2.22873900e+00,  nan,  3.50449845e-12
 nan,  2.23851417e+00,  nan,  4.05540942e-12
 nan,  2.24828935e+00,  nan,  4.69114749e-12
 nan,  2.25806452e+00,  nan,  5.42449133e-12
 nan,  2.26783969e+00,  nan,  6.27010049e-12
 nan,  2.27761486e+00,  nan,  7.24478551e-12
 nan,  2.28739003e+00,  nan,  8.36781583e-12
 nan,  2.29716520e+00,  nan,  9.66127055e-12
 nan,  2.30694037e+00,  nan,  1.11504379e-11
 nan,  2.31671554e+00,  nan,  1.28642702e-11
 nan,  2.32649071e+00,  nan,  1.48359013e-11
 nan,  2.33626588e+00,  nan,  1.71032350e-11
 nan,  2.34604106e+00,  nan,  1.97096151e-11
 nan,  2.35581623e+00,  nan,  2.27045852e-11
 nan,  2.36559140e+00,  nan,  2.61447534e-11
 nan,  2.37536657e+00,  nan,  3.00947734e-11
 nan,  2.38514174e+00,  nan,  3.46284582e-11
 nan,  2.39491691e+00,  nan,  3.98300437e-11
 nan,  2.40469208e+00,  nan,  4.57956218e-11
 nan,  2.41446725e+00,  nan,  5.26347649e-11
 nan,  2.42424242e+00,  nan,  6.04723664e-11
 nan,  2.43401760e+00,  nan,  6.94507260e-11
 nan,  2.44379277e+00,  nan,  7.97319097e-11
 nan,  2.45356794e+00,  nan,  9.15004209e-11
 nan,  2.46334311e+00,  nan,  1.04966222e-10
 nan,  2.47311828e+00,  nan,  1.20368152e-10
 nan,  2.48289345e+00,  nan,  1.37977784e-10
 nan,  2.49266862e+00,  nan,  1.58103794e-10
 nan,  2.50244379e+00,  nan,  1.81096879e-10
 nan,  2.51221896e+00,  nan,  2.07355323e-10
 nan,  2.52199413e+00,  nan,  2.37331269e-10
 nan,  2.53176931e+00,  nan,  2.71537794e-10
 nan,  2.54154448e+00,  nan,  3.10556882e-10
 nan,  2.55131965e+00,  nan,  3.55048417e-10
 nan,  2.56109482e+00,  nan,  4.05760300e-10
 nan,  2.57086999e+00,  nan,  4.63539848e-10
 nan,  2.58064516e+00,  nan,  5.29346622e-10
 nan,  2.59042033e+00,  nan,  6.04266846e-10
 nan,  2.60019550e+00,  nan,  6.89529638e-10
 nan,  2.60997067e+00,  nan,  7.86525230e-10
 nan,  2.61974585e+00,  nan,  8.96825459e-10
 nan,  2.62952102e+00,  nan,  1.02220676e-09
 nan,  2.63929619e+00,  nan,  1.16467598e-09
 nan,  2.64907136e+00,  nan,  1.32649934e-09
 nan,  2.65884653e+00,  nan,  1.51023492e-09
 nan,  2.66862170e+00,  nan,  1.71876905e-09
 nan,  2.67839687e+00,  nan,  1.95535715e-09
 nan,  2.68817204e+00,  nan,  2.22366936e-09
 nan,  2.69794721e+00,  nan,  2.52784173e-09
 nan,  2.70772239e+00,  nan,  2.87253346e-09
 nan,  2.71749756e+00,  nan,  3.26299091e-09
 nan,  2.72727273e+00,  nan,  3.70511916e-09
 nan,  2.73704790e+00,  nan,  4.20556207e-09
 nan,  2.74682307e+00,  nan,  4.77179154e-09
 nan,  2.75659824e+00,  nan,  5.41220738e-09
 nan,  2.76637341e+00,  nan,  6.13624858e-09
 nan,  2.77614858e+00,  nan,  6.95451758e-09
 nan,  2.78592375e+00,  nan,  7.87891879e-09
 nan,  2.79569892e+00,  nan,  8.92281295e-09
 nan,  2.80547410e+00,  nan,  1.01011891e-08
 nan,  2.81524927e+00,  nan,  1.14308563e-08
 nan,  2.82502444e+00,  nan,  1.29306567e-08
 nan,  2.83479961e+00,  nan,  1.46217025e-08
 nan,  2.84457478e+00,  nan,  1.65276405e-08
 nan,  2.85434995e+00,  nan,  1.86749445e-08
 nan,  2.86412512e+00,  nan,  2.10932418e-08
 nan,  2.87390029e+00,  nan,  2.38156749e-08
 nan,  2.88367546e+00,  nan,  2.68793032e-08
 nan,  2.89345064e+00,  nan,  3.03255487e-08
 nan,  2.90322581e+00,  nan,  3.42006908e-08
 nan,  2.91300098e+00,  nan,  3.85564143e-08
 nan,  2.92277615e+00,  nan,  4.34504170e-08
 nan,  2.93255132e+00,  nan,  4.89470823e-08
 nan,  2.94232649e+00,  nan,  5.51182245e-08
 nan,  2.95210166e+00,  nan,  6.20439128e-08
 nan,  2.96187683e+00,  nan,  6.98133837e-08
 nan,  2.97165200e+00,  nan,  7.85260490e-08
 nan,  2.98142717e+00,  nan,  8.82926100e-08
 nan,  2.99120235e+00,  nan,  9.92362886e-08
 nan,  3.00097752e+00,  nan,  1.11494186e-07
 nan,  3.01075269e+00,  nan,  1.25218783e-07
 nan,  3.02052786e+00,  nan,  1.40579594e-07
 nan,  3.03030303e+00,  nan,  1.57764993e-07
 nan,  3.04007820e+00,  nan,  1.76984221e-07
 nan,  3.04985337e+00,  nan,  1.98469605e-07
 nan,  3.05962854e+00,  nan,  2.22478994e-07
 nan,  3.06940371e+00,  nan,  2.49298444e-07
 nan,  3.07917889e+00,  nan,  2.79245172e-07
 nan,  3.08895406e+00,  nan,  3.12670802e-07
 nan,  3.09872923e+00,  nan,  3.49964936e-07
 nan,  3.10850440e+00,  nan,  3.91559069e-07
 nan,  3.11827957e+00,  nan,  4.37930902e-07
 nan,  3.12805474e+00,  nan,  4.89609060e-07
 nan,  3.13782991e+00,  nan,  5.47178279e-07
 nan,  3.14760508e+00,  nan,  6.11285089e-07
 nan,  3.15738025e+00,  nan,  6.82644043e-07
 nan,  3.16715543e+00,  nan,  7.62044543e-07
 nan,  3.17693060e+00,  nan,  8.50358309e-07
 nan,  3.18670577e+00,  nan,  9.48547561e-07
 nan,  3.19648094e+00,  nan,  1.05767396e-06
 nan,  3.20625611e+00,  nan,  1.17890841e-06
 nan,  3.21603128e+00,  nan,  1.31354170e-06
 nan,  3.22580645e+00,  nan,  1.46299626e-06
 nan,  3.23558162e+00,  nan,  1.62883884e-06
 nan,  3.24535679e+00,  nan,  1.81279446e-06
 nan,  3.25513196e+00,  nan,  2.01676161e-06
 nan,  3.26490714e+00,  nan,  2.24282875e-06
 nan,  3.27468231e+00,  nan,  2.49329241e-06
 nan,  3.28445748e+00,  nan,  2.77067677e-06
 nan,  3.29423265e+00,  nan,  3.07775511e-06
 nan,  3.30400782e+00,  nan,  3.41757308e-06
 nan,  3.31378299e+00,  nan,  3.79347396e-06
 nan,  3.32355816e+00,  nan,  4.20912627e-06
 nan,  3.33333333e+00,  nan,  4.66855363e-06
 nan,  3.34310850e+00,  nan,  5.17616723e-06
 nan,  3.35288368e+00,  nan,  5.73680113e-06
 nan,  3.36265885e+00,  nan,  6.35575052e-06
 nan,  3.37243402e+00,  nan,  7.03881316e-06
 nan,  3.38220919e+00,  nan,  7.79233443e-06
 nan,  3.39198436e+00,  nan,  8.62325598e-06
 nan,  3.40175953e+00,  nan,  9.53916857e-06
 nan,  3.41153470e+00,  nan,  1.05483691e-05
 nan,  3.42130987e+00,  nan,  1.16599225e-05
 nan,  3.43108504e+00,  nan,  1.28837283e-05
 nan,  3.44086022e+00,  nan,  1.42305931e-05
 nan,  3.45063539e+00,  nan,  1.57123083e-05
 nan,  3.46041056e+00,  nan,  1.73417346e-05
 nan,  3.47018573e+00,  nan,  1.91328924e-05
 nan,  3.47996090e+00,  nan,  2.11010600e-05
 nan,  3.48973607e+00,  nan,  2.32628791e-05
 nan,  3.49951124e+00,  nan,  2.56364688e-05
 nan,  3.50928641e+00,  nan,  2.82415479e-05
 nan,  3.51906158e+00,  nan,  3.10995667e-05
 nan,  3.52883675e+00,  nan,  3.42338488e-05
 nan,  3.53861193e+00,  nan,  3.76697440e-05
 nan,  3.54838710e+00,  nan,  4.14347917e-05
 nan,  3.55816227e+00,  nan,  4.55588968e-05
 nan,  3.56793744e+00,  nan,  5.00745193e-05
 nan,  3.57771261e+00,  nan,  5.50168762e-05
 nan,  3.58748778e+00,  nan,  6.04241594e-05
 nan,  3.59726295e+00,  nan,  6.63377681e-05
 nan,  3.60703812e+00,  nan,  7.28025589e-05
 nan,  3.61681329e+00,  nan,  7.98671123e-05
 nan,  3.62658847e+00,  nan,  8.75840190e-05
 nan,  3.63636364e+00,  nan,  9.60101851e-05
 nan,  3.64613881e+00,  nan,  1.05207159e-04
 nan,  3.65591398e+00,  nan,  1.15241481e-04
 nan,  3.66568915e+00,  nan,  1.26185054e-04
 nan,  3.67546432e+00,  nan,  1.38115542e-04
 nan,  3.68523949e+00,  nan,  1.51116797e-04
 nan,  3.69501466e+00,  nan,  1.65279304e-04
 nan,  3.70478983e+00,  nan,  1.80700669e-04
 nan,  3.71456500e+00,  nan,  1.97486128e-04
 nan,  3.72434018e+00,  nan,  2.15749093e-04
 nan,  3.73411535e+00,  nan,  2.35611733e-04
 nan,  3.74389052e+00,  nan,  2.57205587e-04
 nan,  3.75366569e+00,  nan,  2.80672221e-04
 nan,  3.76344086e+00,  nan,  3.06163923e-04
 nan,  3.77321603e+00,  nan,  3.33844439e-04
 nan,  3.78299120e+00,  nan,  3.63889756e-04
 nan,  3.79276637e+00,  nan,  3.96488926e-04
 nan,  3.80254154e+00,  nan,  4.31844949e-04
 nan,  3.81231672e+00,  nan,  4.70175695e-04
 nan,  3.82209189e+00,  nan,  5.11714893e-04
 nan,  3.83186706e+00,  nan,  5.56713160e-04
 nan,  3.84164223e+00,  nan,  6.05439105e-04
 nan,  3.85141740e+00,  nan,  6.58180482e-04
 nan,  3.86119257e+00,  nan,  7.15245409e-04
 nan,  3.87096774e+00,  nan,  7.76963664e-04
 nan,  3.88074291e+00,  nan,  8.43688032e-04
 nan,  3.89051808e+00,  nan,  9.15795737e-04
 nan,  3.90029326e+00,  nan,  9.93689947e-04
 nan,  3.91006843e+00,  nan,  1.07780135e-03
 nan,  3.91984360e+00,  nan,  1.16858983e-03
 nan,  3.92961877e+00,  nan,  1.26654618e-03
 nan,  3.93939394e+00,  nan,  1.37219398e-03
 nan,  3.94916911e+00,  nan,  1.48609145e-03
 nan,  3.95894428e+00,  nan,  1.60883354e-03
 nan,  3.96871945e+00,  nan,  1.74105399e-03
 nan,  3.97849462e+00,  nan,  1.88342754e-03
 nan,  3.98826979e+00,  nan,  2.03667223e-03
 nan,  3.99804497e+00,  nan,  2.20155184e-03
 nan,  4.00782014e+00,  nan,  2.37887840e-03
 nan,  4.01759531e+00,  nan,  2.56951476e-03
 nan,  4.02737048e+00,  nan,  2.77437743e-03
 nan,  4.03714565e+00,  nan,  2.99443932e-03
 nan,  4.04692082e+00,  nan,  3.23073280e-03
 nan,  4.05669599e+00,  nan,  3.48435274e-03
 nan,  4.06647116e+00,  nan,  3.75645973e-03
 nan,  4.07624633e+00,  nan,  4.04828343e-03
 nan,  4.08602151e+00,  nan,  4.36112600e-03
 nan,  4.09579668e+00,  nan,  4.69636569e-03
 nan,  4.10557185e+00,  nan,  5.05546058e-03
 nan,  4.11534702e+00,  nan,  5.43995241e-03
 nan,  4.12512219e+00,  nan,  5.85147053e-03
 nan,  4.13489736e+00,  nan,  6.29173603e-03
 nan,  4.14467253e+00,  nan,  6.76256596e-03
 nan,  4.15444770e+00,  nan,  7.26587772e-03
 nan,  4.16422287e+00,  nan,  7.80369353e-03
 nan,  4.17399804e+00,  nan,  8.37814505e-03
 nan,  4.18377322e+00,  nan,  8.99147818e-03
 nan,  4.19354839e+00,  nan,  9.64605789e-03
 nan,  4.20332356e+00,  nan,  1.03443733e-02
 nan,  4.21309873e+00,  nan,  1.10890426e-02
 nan,  4.22287390e+00,  nan,  1.18828187e-02
 nan,  4.23264907e+00,  nan,  1.27285941e-02
 nan,  4.24242424e+00,  nan,  1.36294069e-02
 nan,  4.25219941e+00,  nan,  1.45884457e-02
 nan,  4.26197458e+00,  nan,  1.56090561e-02
 nan,  4.27174976e+00,  nan,  1.66947457e-02
 nan,  4.28152493e+00,  nan,  1.78491905e-02
 nan,  4.29130010e+00,  nan,  1.90762405e-02
 nan,  4.30107527e+00,  nan,  2.03799261e-02
 nan,  4.31085044e+00,  nan,  2.17644638e-02
 nan,  4.32062561e+00,  nan,  2.32342622e-02
 nan,  4.33040078e+00,  nan,  2.47939289e-02
 nan,  4.34017595e+00,  nan,  2.64482759e-02
 nan,  4.34995112e+00,  nan,  2.82023261e-02
 nan,  4.35972630e+00,  nan,  3.00613198e-02
 nan,  4.36950147e+00,  nan,  3.20307205e-02
 nan,  4.37927664e+00,  nan,  3.41162212e-02
 nan,  4.38905181e+00,  nan,  3.63237505e-02
 nan,  4.39882698e+00,  nan,  3.86594790e-02
 nan,  4.40860215e+00,  nan,  4.11298248e-02
 nan,  4.41837732e+00,  nan,  4.37414597e-02
 nan,  4.42815249e+00,  nan,  4.65013149e-02
 nan,  4.43792766e+00,  nan,  4.94165867e-02
